iter	Passed	Remaining
0	2	267
1	5	272
2	7	257
3	8	210
4	9	186
5	10	168
6	11	155
7	12	146
8	13	138
9	14	132
10	15	127
11	16	122
12	17	118
13	18	114
14	19	111
15	20	108
16	21	105
17	22	102
18	23	100
19	24	97
20	25	95
21	26	93
22	27	91
23	28	89
24	29	87
25	30	85
26	31	83
27	31	82
28	32	80
29	33	79
30	34	77
31	35	76
32	36	74
33	37	73
34	38	72
35	39	71
36	40	69
37	42	68
38	42	67
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	58
45	49	57
46	50	56
47	50	55
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	46
55	58	45
56	59	44
57	59	43
58	60	42
59	61	41
60	62	40
61	63	39
62	64	38
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	97	1
98	98	0
99	99	0
